2018-07-24 04:50:16,b'He will become the first to visit the moon as well! #Rwanda #Modi https://t.co/JpRuIO1Ix6'
2018-07-24 04:49:07,b'RT @DrMerajj: I congratulate #Modi to be come the first prime minister of India in whose rule animals became more important than human!! #S\xe2\x80\xa6'
2018-07-24 04:48:38,b'RT @rachitsharma0: @tavleen_singh #India existed before #Modi and will fly high post his tenure. INDIA is bigger than any individual. And t\xe2\x80\xa6'
2018-07-24 04:47:55,"b""RT @DrGarekar: touching PM's chair was part of Black Magic.....so that good health of #Modi deteriorates in no time https://t.co/vgTKaj5GKR"""
2018-07-24 04:46:18,b'RT @Teloogoo: Shows how #Modi is ripping of Dravidian states &amp; diverting massive funds to financial parasite Uttar Pradesh.. UP gets money\xe2\x80\xa6'
2018-07-24 04:43:55,"b""touching PM's chair was part of Black Magic.....so that good health of #Modi deteriorates in no time https://t.co/vgTKaj5GKR"""
2018-07-24 04:42:47,"b""RT @drshamamohd: #Rafale deal prices- Can't be disclosed! \n\nDetails of PM #Modi's entourage on foreign trips- Can't be disclosed! \n\nModi ji\xe2\x80\xa6"""
2018-07-24 04:38:18,"b'RT @shubhpilot: \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb2 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x9f\xe0\xa5\x81\xe0\xa4\x95\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x87 \xe0\xa4\x9f\xe0\xa5\x81\xe0\xa4\x95\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xb0, \xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb2 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x87 \xf0\x9f\x98\x8a \n#Modi Has No Problem To Hug #Nawaz And His Biryani In Pak, But He Behaved Ar\xe2\x80\xa6'"
2018-07-24 04:38:13,b'RT @Teloogoo: Shows how #Modi is ripping of Dravidian states &amp; diverting massive funds to financial parasite Uttar Pradesh.. UP gets money\xe2\x80\xa6'
2018-07-24 04:38:00,b'RT @samirsaran: My latest for the @wef on the @PMOIndia \xe2\x80\x98s speech at #Shangrila and what we must attempt to do soon. \n\n#IndoPacific #Modi #\xe2\x80\xa6'
2018-07-24 04:37:25,"b'RT @AthanTashobya: President @PaulKagame bid farewell to Chinese President #XiJinping \n\n30 minutes later, he welcomed Indian Prime Minister\xe2\x80\xa6'"
2018-07-24 04:33:47,"b'RT @ShotDKuruvi: @SuryahSG YES KILLED, by whom? Its cozOf les Train betwen imp. stations in peek hrs. 4yrs of #Modi govt passed, increased\xe2\x80\xa6'"
2018-07-24 04:33:08,b'RT @DrRafiqRaji: Key #Africa #events or #data releases today [Posts &amp; comments at my Twitter handle @DrRafiqRaji]\n\n#India\xe2\x80\x99s #Modi in #Ugand\xe2\x80\xa6'
2018-07-24 04:32:28,b'RT @YashpalBJP: @BJP4Udupi @RaghupathiBhat @ChaitanyaBhat7 @mattarhegde @ProfSRK @BJP4UttarKannad @AmitShah @DheerajGbc @GogoiRanju @ajayku\xe2\x80\xa6'
2018-07-24 04:32:21,b'RT @YashpalBJP: @BJP4Udupi @RaghupathiBhat @ChaitanyaBhat7 @mattarhegde @ProfSRK @BJP4UttarKannad @AmitShah @DheerajGbc @GogoiRanju @ajayku\xe2\x80\xa6'
2018-07-24 04:31:50,b'@meerasanyal Wow... #Modi has now become a NRI PM \xf0\x9f\xa4\xaa'
2018-07-24 04:30:00,b'RT @Teloogoo: Shows how #Modi is ripping of Dravidian states &amp; diverting massive funds to financial parasite Uttar Pradesh.. UP gets money\xe2\x80\xa6'
2018-07-24 04:29:35,"b'RT @Vasudev00411816: @RahulGandhi Is it a mystery for people to know why you LOVE mob lynching politics  so much?\nIn heart of hearts,you on\xe2\x80\xa6'"
2018-07-24 04:29:22,"b'@RahulGandhi Is it a mystery for people to know why you LOVE mob lynching politics  so much?\nIn heart of hearts,you\xe2\x80\xa6 https://t.co/dk3Q0itqAv'"
2018-07-24 04:28:19,b'RT @samirsaran: My latest for the @wef on the @PMOIndia \xe2\x80\x98s speech at #Shangrila and what we must attempt to do soon. \n\n#IndoPacific #Modi #\xe2\x80\xa6'
2018-07-24 04:27:56,b'Shivam Vij @DilliDurAst puts it well...\nHow to always b in news and rule the public attention span...\xe2\x80\xa6 https://t.co/DxwCTCWhn9'
2018-07-24 04:27:50,b'RT @samirsaran: My latest for the @wef on the @PMOIndia \xe2\x80\x98s speech at #Shangrila and what we must attempt to do soon. \n\n#IndoPacific #Modi #\xe2\x80\xa6'
2018-07-24 04:27:25,b'RT @ARDMEHRA1966: #Bloomberg Media report says that nothing can stop @narendramodi till 2029 as in India a 10 yrs old child or even a 90 yr\xe2\x80\xa6'
2018-07-24 04:26:29,b'RT @DrRafiqRaji: Key #Africa #events or #data releases today [Posts &amp; comments at my Twitter handle @DrRafiqRaji]\n\n#India\xe2\x80\x99s #Modi in #Ugand\xe2\x80\xa6'
